Intersection,AADT Year,North Approach AADT,South Approach AADT,East Approach AADT,West Approach AADT
MONTREAL STREET @ JOHN COUNTER BOULEVARD (900121),2010,"14,215","15,550",785,"9,648"
PRINCESS STREET @ DIVISION STREET (900208),2010,"13,628","7,476","7,935","14,355"
TAYLOR-KIDD BOULEVARD @ WATERLOO DRIVE (900517),2010,"2,473",0,"19,220","18,678"
COUNTY ROAD 2 @ NIAGARA PARK DRIVE (900965),2010,"4,207","7,544","9,606","14,299"
EARL STREET @ WILLINGDON AVENUE (904255),2010,486,481,664,569
ONTARIO STREET @ PRINCESS STREET (900005),2011,"12,027","10,986","1,223","4,143"
KING STREET WEST @ BARRIE STREET (900032),2011,"4,333",713,"12,272","13,314"
KING STREET WEST @ LOWER UNIVERSITY AVE (900035),2011,"2,961",522,"13,356","14,645"
KING STREET WEST @ COLLINGWOOD STREET (900038),2011,454,0,"17,104","16,942"
KING STREET WEST @ YONGE STREET (900049),2011,798,"1,332","12,076","11,786"
MONTREAL STREET @ ORDNANCE STREET (900104),2011,"7,240","5,628","4,223","3,320"
MONTREAL STREET @ CHARLES STREET (900110),2011,"10,546","10,430",957,868
MONTREAL STREET @ RAILWAY STREET / RIDEAU STREET (900116),2011,"17,965","12,184","6,939","4,330"
BROCK STREET @ DIVISION STREET (900206),2011,"5,492","3,989","10,166","9,216"
DIVISION STREET @ KIRKPATRICK STREET (900228),2011,"19,813","17,908",222,"3,671"
JOHNSON STREET @ ALFRED STREET (900312),2011,"2,066","1,806","9,336","9,341"
JOHNSON STREET @ ALBERT STREET (900314),2011,"1,456","1,756","9,947","10,192"
JOHNSON STREET @ VICTORIA STREET (900316),2011,"1,340","1,157","9,383","9,300"
GARDINERS ROAD @ GOLDEN MILE ROAD (900351),2011,"30,845","29,836",0,"2,954"
BROCK STREET @ BAGOT STREET / CLARENCE ST (900404),2011,"5,332","5,194","8,172","8,452"
BROCK STREET @ BARRIE STREET (900408),2011,"3,179","3,413","9,348","10,263"
BROCK STREET @ ALFRED STREET (900412),2011,"2,214","1,958","9,540","9,506"
TAYLOR-KIDD BOULEVARD @ MILFORD DRIVE (900532),2011,"2,725","2,463","18,852","17,627"
TAYLOR-KIDD BOULEVARD @ PEMBRIDGE CRESCENT (900534),2011,"1,278",491,"17,957","17,845"
COUNTY ROAD 2 @ HIGHWAY 15 (900625),2011,"14,429",0,"16,184","23,010"
BATH ROAD @ ARMSTRONG ROAD (900761),2011,"4,426",0,"35,670","33,301"
PRINCESS STREET @ ALFRED STREET (900812),2011,"1,489","1,274","6,724","6,531"
PRINCESS STREET @ MACDONNELL STREET (900818),2011,"2,758","2,335","15,572","16,964"
PRINCESS STREET @ CENTENNIAL DRIVE (900837),2011,"18,260","16,108","34,551","32,009"
PORTSMOUTH AVENUE @ VALLEYVIEW AVENUE (902251),2011,"8,738","8,863",0,982
MACDONNELL STREET @ EARL STREET (904207),2011,"1,014",982,"1,220",871
EARL STREET @ UNIVERSITY AVENUE (905107),2011,"2,714","2,735","1,170","1,243"
EARL STREET @ SYDENHAM STREET (906204),2011,832,738,807,757
BARRIE STREET @ CLERGY STREET (906303),2011,"3,678","4,009",903,648
RIDEAU STREET @ BAY STREET (907155),2011,"7,574","5,369","3,409","1,068"
BAGOT STREET @ BAY STREET (907156),2011,"2,886","3,448","1,093","1,231"
BAGOT STREET @ NORTH STREET (907206),2011,"2,801","2,985",526,489
PRINCESS STREET @ CLERGY STREET EAST (907401),2011,"2,316","2,707","7,347","7,195"
RAGLAN ROAD @ RIDEAU STREET (907455),2011,"6,501","7,026",0,"1,044"
QUEEN STREET @ BARRIE STREET (909108),2011,"2,274","2,970","8,209","7,905"
BAYRIDGE DRIVE @ ROOSEVELT DRIVE (909454),2011,"1,683",0,"10,468","10,960"
BAYRIDGE DRIVE @ HUDSON DRIVE (909461),2011,"12,663","11,672","2,288","2,309"
CENTENNIAL DRIVE @ DAVIS DRIVE NORTH (909961),2011,"14,805","13,996",10,"2,658"
LANCASTER DRIVE @ OLD COLONY ROAD (933717),2011,"3,069","2,991","1,750",0
EMERALD STREET @ LANGFIELD STREET (935165),2011,453,408,541,502
MIDLAND AVENUE @ LOBLAWS ENTRANCE (936001),2011,"14,917","17,199","3,906",3
PEACHWOOD STREET @ SPINDLEWOOD STREET (936223),2011,0,135,680,600
BUR BROOK ROAD @ CORDUKES ROAD (943050),2011,913,921,199,132
SPOONER ROAD @ LEEMAN ROAD (947405),2011,0,948,974,414
ONTARIO STREET @ JOHNSON STREET (900001),2012,"8,698","6,832",769,"3,144"
BROCK STREET @ ONTARIO STREET (900004),2012,"11,725","9,491",358,"4,284"
JOHNSON STREET @ KING STREET (900023),2012,"6,507","5,923","2,598","3,661"
KING STREET WEST/UNION STREET @ MOWAT AVENUE / UNION ST (900051),2012,"6,052","3,225","13,460","19,133"
KING STREET WEST @ COUNTRY CLUB DRIVE (900055),2012,"2,402",352,"16,745","17,444"
FRONT ROAD @ DAYS ROAD (900066),2012,"9,944",158,"17,272","10,352"
BAYRIDGE DRIVE @ FRONT ROAD / OLD FRONT ROAD (900075),2012,"7,751",317,"8,005","1,925"
BROCK STREET @ MONTREAL STREET (900101),2012,"2,342",247,"9,286","10,239"
DIVISION STREET @ UNION STREET (900201),2012,"2,456",0,"4,296","5,664"
DIVISION STREET @ EARL STREET (900203),2012,"3,272","2,868",991,"1,267"
QUEEN STREET @ DIVISION STREET (900209),2012,"9,429","12,656","9,093",0
PERTH ROAD @ MCADOOS LANE (900260),2012,"8,715","10,432","2,424",0
JOHNSON STREET @ WELLINGTON STREET (900303),2012,"2,907","1,943","3,662","4,807"
JOHNSON STREET @ SYDENHAM STREET (900306),2012,"1,626","1,086","6,577","6,406"
JOHNSON STREET @ CLERGY STREET EAST (900307),2012,"1,849","1,226","6,100","6,614"
JOHNSON STREET @ TORONTO STREET NORTH (900317),2012,443,339,"9,213","9,283"
DAYS ROAD @ HENDERSON BOULEVARD (900345),2012,"12,839","11,622",0,"4,560"
GARDINERS ROAD @ PROGRESS AVENUE / ENTELL DRIVE (900354),2012,"27,691","25,368","5,680","6,422"
GARDINERS ROAD @ PRINCESS STREET (900358),2012,"22,356","21,659","27,028","26,823"
GARDINERS RD @ INVISTA ENTRANCE (900363),2012,"14,590","15,227","1,112",0
GARDINER'S ROAD @ MACROW STREET / FORTUNE CRESCENT (NORTH) (900364),2012,"20,442","16,074","2,636","5,094"
COUNTY ROAD 38 @ UNITY ROAD (900381),2012,"9,229","8,933","1,549","1,169"
BROCK STREET @ CLERGY STREET EAST (900407),2012,"2,313","1,760","8,613","8,530"
BROCK STREET @ ALBERT STREET (900414),2012,"1,267","1,388","9,831","9,820"
BROCK STREET @ VICTORIA STREET (900416),2012,"1,231","1,165","9,326","9,184"
BROCK STREET @ COLLEGE STREET (900422),2012,413,844,"10,081","10,324"
BROCK STREET @ PALACE ROAD (900426),2012,"3,242","4,841","9,636","6,238"
PRINCESS STREET @ SYDENHAM ROAD (900450),2012,"12,533",87,"31,701","28,660"
SYDENHAM ROAD @ CROSSFIELD AVENUE (900452),2012,"14,383","13,696",0,"2,268"
SYDENHAM ROAD @ UNITY ROAD (900478),2012,"6,397","7,474","3,664","2,303"
TAYLOR-KIDD BOULEVARD @ CENTENNIAL DRIVE (900520),2012,"14,141","15,390","19,571","25,651"
TAYLOR KIDD BOULEVARD @ RIOCAN CENTRE (900523),2012,0,"5,863","25,096","20,146"
TAYLOR-KIDD BOULEVARD @ OLD COLONY ROAD (900528),2012,"4,122",0,"17,755","16,089"
TAYLOR-KIDD BOULEVARD @ PROGRESS AVENUE (900530),2012,0,"5,318","16,041","18,582"
TAYLOR-KIDD BOULEVARD @ BAYRIDGE DRIVE (900538),2012,"15,170","13,222","16,350","14,389"
BATH ROAD @ SIR JOHN A. MACDONALD BOULEVARD (900607),2012,"22,485","23,591","20,468","24,687"
SIR JOHN A. MACDONALD BLVD. @ ELMWOOD STREET (900608),2012,"19,781","20,341",0,"2,313"
COUNTY ROAD 15 @ ROSE ABBEY DRIVE (900637),2012,"14,508","13,114","6,014",0
BATH ROAD @ PALACE ROAD (900724),2012,"3,266","6,696","16,123","19,321"
BATH ROAD @ CENTENNIAL DRIVE (900763),2012,"13,453","1,853","30,234","27,589"
BATH ROAD @ TANNER DRIVE (900765),2012,"2,541",0,"26,774","27,132"
BATH ROAD @ GARDINERS ROAD (900767),2012,"25,053","8,743","26,812","26,002"
BATH ROAD @ MCEWEN DRIVE (900769),2012,150,"2,866","23,588","22,411"
BATH ROAD @ COVERDALE DRIVE (900772),2012,0,"10,013","19,567","16,863"
PRINCESS STREET @ ALFRED STREET (900812),2012,"2,527","2,464","14,239","14,415"
PRINCESS STREET @ ALBERT STREET (900814),2012,"1,146",781,"15,828","15,514"
PRINCESS STREET @ FOOD BASICS ENTRANCE (900825),2012,"1,594",388,"28,090","28,588"
PRINCESS STREET @ PORTSMOUTH AVENUE (900828),2012,"4,834","9,842","24,927","29,327"
PRINCESS STREET @ WESTBROOK ROAD (900858),2012,"2,353",829,"8,987","8,194"
COUNTY ROAD 2 @ PRINCESS MARY AVENUE / CRAFTSMAN BOULEVARD (900961),2012,"3,108","4,888","5,031","8,204"
NELSON STREET @ FIRST AVENUE (901057),2012,568,645,672,709
VICTORIA STREET @ THIRD AVENUE (901158),2012,"3,074","2,550",645,"1,131"
VICTORIA STREET @ OAK STREET (901507),2012,0,"2,388","1,394","1,153"
COLLEGEVIEW CRESCENT @ COUNTRY CLUB DRIVE (903978),2012,912,0,"1,245",363
BAGOT STREET @ EARL STREET (906454),2012,"2,989","2,812",659,743
QUEEN STREET @ WELLINGTON STREET (907102),2012,"2,971","3,142","6,466","7,006"
BAGOT STREET @ CHARLES STREET (907211),2012,"1,512","1,781",703,"1,078"
QUEEN STREET @ SYDENHAM STREET (907302),2012,875,"1,075","8,994","9,029"
BARRIE STREET @ ORDNANCE STREET (907502),2012,"2,207","2,264",138,85
SAND HILL ROAD @ SAND GULLY ROAD (909030),2012,246,0,525,510
QUEEN STREET @ BAGOT STREET (909104),2012,"4,357","3,841","7,093","8,019"
BAYRIDGE DRIVE @ COVERDALE DRIVE (909457),2012,"11,502","10,094","7,730","1,242"
BAYRIDGE DRIVE @ OLD COLONY ROAD (909465),2012,"15,289","14,718","1,914","2,102"
BAYRIDGE DRIVE @ WOODBINE ROAD (909466),2012,"13,012","12,268","1,182","4,399"
KINGSTON MILLS ROAD @ STATION ROAD (909785),2012,5,808,"1,752","2,380"
UNION STREET @ COLLEGE STREET (909815),2012,645,0,"9,851","9,984"
WELLINGTON STREET @ PLACE D'ARMES (909903),2012,"6,878","3,607","5,478",0
CENTENNIAL DRIVE @ FRONTENAC MALL ENTRANCE (909950),2012,"12,986","12,912","3,602",491
CENTENNIAL DRIVE @ WATERLOO DRIVE (909960),2012,"13,613","13,054","3,042",0
COUNTY ROAD 15 @ INNOVATION DRIVE / BISCAYNE STREET (912501),2012,"7,818","7,348",998,103
6TH CONCESSION ROAD @ ACCOMMODATION ROAD. (916320),2012,0,195,142,317
MIDLAND AVENUE @ NORWEST ROAD (933640),2012,"11,806","9,887",0,"6,685"
KATHERINE CRESCENT @ LISA STREET (933925),2012,"1,179",0,302,976
ANDERSEN DRIVE @ CROSSFIELD AVENUE (935056),2012,520,"1,073","2,338","1,912"
MIDLAND AVENUE @ TIVOLI AVENUE (936008),2012,"11,168","10,115",0,"3,038"
CATARAQUI WOODS DRIVE @ CEDARWOOD DRIVE / BIRCHWOOD DRIVE (936025),2012,"2,756","2,067","6,365","3,448"
SIERRA AVENUE @ TIVOLI AVENUE (936138),2012,831,"2,178","2,744",5
ONTARIO STREET @ THE TRAGICALLY HIP WAY (900007),2013,"19,105","16,344","1,091","5,206"
KING STREET WEST @ ALBERT STREET (900037),2013,"1,253",0,"13,717","14,464"
KING STREET WEST @ TRAILHEAD PLACE (900055A),2013,450,148,"15,852","15,702"
