,ID,Accident Date,Accident Time,Intersection ID,Roadway,Intersection,RIMS ID,From Street,Street,Street.1,To Street,01 Accident Location,02 Impact Location,03 Thru Lane Number,04 Environmental Condition,05 Environmental Condition,06 Light,07 Traffic Control,08 Traffic Control Condition,15 Road Surface Condition,16 Road Surface Condition,17 Road Alignment,18 Road Alignment,21 Vehicle Type,22 Vehicle Type,33 Apparent Driver Action,34 Apparent Driver Action,35 Driver Condition,36 Driver Condition,37 Pedestrian Condition,38 Pedestrian Condition,39 Pedestrian Action,40 Pedestrian Action,41 Road Jurisdiction,42 Classification of Accident,43 Initial Direction of Travel,44 Initial Direction of Travel,45 Initial Impact Type,46 Vehicle Manoeuver,47 Vehicle Manoeuver,In Vehicle Injuries,Total Fatalities,Total Injuries,Pedestrian Injuries,Total Vehicles Involved,Cyclist Injuries,INTERSECT,coordinates
0,17-29418,2017-11-30, 11:00:00 AM,907506,BARRIE STREET,York Street,,,,YORK ST,,3.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2,0.0,"BARRIE STREET @ York Street, Kingston, Ontario","[44.2356527, -76.49002580000001]"
1,17-43027,2017-12-20, 8:40:00 AM,907506,BARRIE STREET,York Street,,,,YORK ST,,2.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,3.0,1.0,11.0,1.0,0.0,1.0,0.0,2,0.0,"BARRIE STREET @ York Street, Kingston, Ontario","[44.2356527, -76.49002580000001]"
2,18-39253,2018-10-15, 10:46:00 PM,907462,RAGLAN ROAD,YORK STREET,,,,YORK ST,,2.0,2.0,1.0,1.0,6.0,8.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,1.0,4.0,0.0,2.0,0.0,1.0,2.0,0.0,4.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,"RAGLAN ROAD @ YORK STREET, Kingston, Ontario","[44.2365873, -76.49145600000001]"
3,17-29208,2017-10-14, 3:15:00 PM,,,,9913,CARLISLE ST,YORK ST,YORK ST,CHERRY ST,1.0,11.0,0.0,1.0,0.0,1.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,2.0,6.0,11.0,1.0,0.0,0.0,0.0,0.0,2,0.0,"CARLISLE ST @ YORK ST, Kingston, Ontario","[44.2368806, -76.4919082]"
4,17-660,2017-07-01, 12:30:00 AM,903207,UNION STREET,Yonge Street,,,,YONGE ST,,2.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,8.0,7.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2,,"UNION STREET @ Yonge Street, Kingston, Ontario","[44.2222027, -76.51768059999999]"
5,17-10258,2017-05-26, 4:25:00 PM,900049,KING STREET WEST,Yonge Street,,,,YONGE ST,,3.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,2,0.0,"KING STREET WEST @ Yonge Street, Kingston, Ontario","[44.2208575, -76.5176838]"
6,16-17048,2016-06-16, 6:16:00 PM,,,,48,GARDINER ST,KING ST W,YONGE ST,YONGE ST,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,3.0,2.0,10.0,1.0,0.0,1.0,0.0,2,,"GARDINER ST @ KING ST W, Kingston, Ontario","[44.2209193, -76.51596239999999]"
7,18-42946,2018-12-11, 1:45:00 PM,,,,1416,DOUGLAS AVE,WYCLIFFE CRES,WYCLIFFE CRES,99M WEST OF DOUGLAS AVE,4.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,9.0,11.0,0.0,0.0,0.0,0.0,2,0.0,"DOUGLAS AVE @ WYCLIFFE CRES, Kingston, Ontario","[44.2570963, -76.50402009999999]"
8,17-1304,2017-01-14, 1:52:00 PM,,,,4916,WRIGHT CRES  (WEST LEG),WRIGHT CRES,WRIGHT CRES,(NORTH LEG),4.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,4.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,2,,"WRIGHT CRES  (WEST LEG) @ WRIGHT CRES, Kingston, Ontario","[44.2387254, -76.5155802]"
9,18-90,2018-02-01, 2:10:00 PM,,,,4916,WRIGHT CRES  (WEST LEG),WRIGHT CRES,WRIGHT CRES,(NORTH LEG),4.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,4.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,2,0.0,"WRIGHT CRES  (WEST LEG) @ WRIGHT CRES, Kingston, Ontario","[44.2387254, -76.5155802]"
