Organization,Capital Program,Program Subclass,Project Status,Project Title,Project Description,Project Planning From,Project Planning To,Planned Construction From,Planned Construction To,Construction Completion From,Construction Completion To,Project URL,SDE ID,GeoJSON,geo_point_2d
Parks and Development,Parks and Development,Existing Parks,Project Complete,Meadowbrook Park playground and woodland improvement,"Playground upgrades, a new pathway and selective drainage improvements including inside the dog park",,,2017-01-01T00:00:00-05:00,2017-12-31T00:00:00-05:00,2018-06-01,,,23,"{""coordinates"": [-76.54482220079392, 44.24619953004766], ""type"": ""Point""}","44.24619953004766,-76.54482220079392"
Utilities Kingston,Utilities Facility Upgrade,Electric,Project Complete,TV 8 Electric Upgrade,Rebuilt Top Slab & Upgrade Equipment,,,2014-12-31T00:00:00-05:00,2016-12-30T00:00:00-05:00,,,,107,"{""coordinates"": [-76.4874069923466, 44.232405663881146], ""type"": ""Point""}","44.232405663881146,-76.4874069923466"
City Engineering,Storm System Improvements,Drainage Improvements,In Planning and Design Phase,Reddendale Drainage Improvements,Reddendale Drainage Improvements - Lakeshore Boulevard,2020-01-01,2020-12-31,2020-01-02T00:00:00-05:00,2023-12-30T00:00:00-05:00,,,,46576,"{""coordinates"": [-76.57471298017737, 44.216690519641034], ""type"": ""Point""}","44.216690519641034,-76.57471298017737"
City Engineering,Storm System Improvements,Drainage Improvements,In Planning and Design Phase,Reddendale Drainage Improvements,Reddendale Drainage Improvements - Montgomery Boulevard,2020-01-01,2020-12-31,2020-01-02T00:00:00-05:00,2023-12-30T00:00:00-05:00,,,,46577,"{""coordinates"": [-76.56558852654474, 44.21657727329574], ""type"": ""Point""}","44.21657727329574,-76.56558852654474"
Utilities Kingston,Utilties Rehabilitation,Wastewater,Under Construction,Repair & Rehabilitate Roof on Digester 2 & 3 at Ravensview Wastewater Treatment Plant,"Structural repairs to the concrete roof structures, pressure testing & re-installing a new weatherproofing system on rehabilitated concrete roof slabs",2016-01-01,2016-12-31,2018-09-30T00:00:00-04:00,2019-05-30T00:00:00-04:00,,,,130,"{""coordinates"": [-76.42038422609018, 44.24187802720432], ""type"": ""Point""}","44.24187802720432,-76.42038422609018"
Utilities Kingston,Utilities Facility Upgrade,Electric,In Planning and Design Phase,Electric - MS 17 Transformer Decommissioning,,2017-01-01,2017-12-31,2018-12-31T00:00:00-05:00,2019-12-30T00:00:00-05:00,,,,111,"{""coordinates"": [-76.5098462934143, 44.26757476119401], ""type"": ""Point""}","44.26757476119401,-76.5098462934143"
Utilities Kingston,Utilities Facility Upgrade,Electric,Project Complete,Electric - TV38 Relocation,Relocating Vault to Smith Street,2018-01-01,2018-12-31,2017-12-31T00:00:00-05:00,2018-12-30T00:00:00-05:00,,,,127,"{""coordinates"": [-76.5056154499283, 44.23873551955775], ""type"": ""Point""}","44.23873551955775,-76.5056154499283"
Utilities Kingston,Utilities Facility Upgrade,Wastewater,Project Complete,Westbrook Wastewater Pump Station Upgrades,Pump Station Upgrades,2016-01-01,2016-12-31,2016-12-31T00:00:00-05:00,2017-12-30T00:00:00-05:00,,,,117,"{""coordinates"": [-76.6246579762376, 44.26473270348677], ""type"": ""Point""}","44.26473270348677,-76.6246579762376"
City Engineering,Storm System Improvements,Drainage Improvements,Project Complete,Fairway Hill Cres Storm System Improvements,Fairway Hill Cres Storm System Improvements,2019-01-01,2019-12-31,2019-01-01T00:00:00-05:00,2019-12-31T00:00:00-05:00,2019-01-01,2019-12-31,,3695,"{""coordinates"": [-76.53562472576628, 44.23357762313026], ""type"": ""Point""}","44.23357762313026,-76.53562472576628"
City Engineering,Storm System Improvements,Drainage Improvements,Project Complete,Lower King Street Storm System Improvements,Lower King Street Storm System Improvements,2019-01-01,2019-12-31,2019-01-01T00:00:00-05:00,2019-12-31T00:00:00-05:00,,,,4014,"{""coordinates"": [-76.48002067050881, 44.23463450652573], ""type"": ""Point""}","44.23463450652573,-76.48002067050881"
