,intersection,GOOGLE,coords,north,south,west,east
0,MONTREAL STREET @ JOHN COUNTER BOULEVARD (900121),"MONTREAL STREET @ JOHN COUNTER BOULEVARD, Kingston, Ontario","[44.2572695, -76.4829019]","[44.31491899422332, -76.4829019]","[44.19962000577668, -76.4829019]","[44.2572695, -76.49637663487212]","[44.2572695, -76.46942716512788]"
1,PRINCESS STREET @ DIVISION STREET (900208),"PRINCESS STREET @ DIVISION STREET, Kingston, Ontario","[44.2334404, -76.49304269999999]","[44.291132370833466, -76.49304269999999]","[44.17574842916653, -76.49304269999999]","[44.2334404, -76.50651743487211]","[44.2334404, -76.47956796512787]"
2,TAYLOR-KIDD BOULEVARD @ WATERLOO DRIVE (900517),"TAYLOR-KIDD BOULEVARD @ WATERLOO DRIVE, Kingston, Ontario","[44.2518454, -76.5471285]","[44.30976501128217, -76.5471285]","[44.193925788717834, -76.5471285]","[44.2518454, -76.56060323487212]","[44.2518454, -76.53365376512788]"
3,COUNTY ROAD 2 @ NIAGARA PARK DRIVE (900965),"COUNTY ROAD 2 @ NIAGARA PARK DRIVE, Kingston, Ontario","[44.2353036, -76.45273689999999]","[44.29282712213851, -76.45273689999999]","[44.17778007786149, -76.45273689999999]","[44.2353036, -76.46621163487211]","[44.2353036, -76.43926216512787]"
4,EARL STREET @ WILLINGDON AVENUE (904255),"EARL STREET @ WILLINGDON AVENUE, Kingston, Ontario","[44.2294881, -76.5079102]","[44.287242462651164, -76.5079102]","[44.17173373734883, -76.5079102]","[44.2294881, -76.52138493487212]","[44.2294881, -76.49443546512788]"
5,ONTARIO STREET @ PRINCESS STREET (900005),"ONTARIO STREET @ PRINCESS STREET, Kingston, Ontario","[44.2311184, -76.47949760000002]","[44.288753649109665, -76.47949760000002]","[44.173483150890334, -76.47949760000002]","[44.2311184, -76.49297233487214]","[44.2311184, -76.4660228651279]"
6,KING STREET WEST @ BARRIE STREET (900032),"KING STREET WEST @ BARRIE STREET, Kingston, Ontario","[44.22279229999999, -76.4903077]","[44.28047280844067, -76.4903077]","[44.165111791559305, -76.4903077]","[44.22279229999999, -76.50378243487212]","[44.22279229999999, -76.47683296512788]"
7,KING STREET WEST @ LOWER UNIVERSITY AVE (900035),"KING STREET WEST @ LOWER UNIVERSITY AVE, Kingston, Ontario","[44.2230043, -76.4950454]","[44.28070466712797, -76.4950454]","[44.16530393287203, -76.4950454]","[44.2230043, -76.50852013487211]","[44.2230043, -76.48157066512788]"
8,KING STREET WEST @ COLLINGWOOD STREET (900038),"KING STREET WEST @ COLLINGWOOD STREET, Kingston, Ontario","[44.2224161, -76.5010428]","[44.28014162619817, -76.5010428]","[44.16469057380182, -76.5010428]","[44.2224161, -76.51451753487211]","[44.2224161, -76.48756806512787]"
9,KING STREET WEST @ YONGE STREET (900049),"KING STREET WEST @ YONGE STREET, Kingston, Ontario","[44.2208575, -76.5176838]","[44.27865295348576, -76.5176838]","[44.16306204651424, -76.5176838]","[44.2208575, -76.53115853487212]","[44.2208575, -76.50420906512788]"
10,MONTREAL STREET @ ORDNANCE STREET (900104),"MONTREAL STREET @ ORDNANCE STREET, Kingston, Ontario","[44.2347417, -76.48511859999999]","[44.292400473782884, -76.48511859999999]","[44.17708292621712, -76.48511859999999]","[44.2347417, -76.49859333487211]","[44.2347417, -76.47164386512787]"
11,MONTREAL STREET @ CHARLES STREET (900110),"MONTREAL STREET @ CHARLES STREET, Kingston, Ontario","[44.2400551, -76.4864382]","[44.29771939935802, -76.4864382]","[44.182390800641976, -76.4864382]","[44.2400551, -76.49991293487211]","[44.2400551, -76.47296346512788]"
